"StateID","StateName"
"28924","Denguele"
"29708","Denigomodu"
"24192","Denizli"
"82","Denmark"
"29334","Dennery"
"24973","Dependencias Federales"
"25389","Derby"
"25387","Derbyshire"
"25396","Derry"
"29771","Destrnik"
"28399","Devon"
"25622","Deyala"
"25175","Dhaka"
"30261","Dhamar"
"29566","Dhawalagiri"
"28608","Diber"
"29800","Diego Martin"
"25719","Diekirch"
"26138","Dien Bien"
"29682","Diffa"
"28957","Dikhil"
"26058","Dili"
"26039","Dimashq"
"29994","Dinagat Islands"
"29410","Dingli"
"25917","Diourbel"
"28998","Dire Dawa"
"9","District Of Columbia"
"11638","Distrito Capital"
"737","Distrito Federal"
"11473","Distrito Federal"
"28394","Distrito Federal"
"10122","Distrito Federal"
"30280","Distrito Nacional"
"29773","Divaca"
"28920","Dix-Huit Montagnes"
"11033","Diyarbakir"
"25266","Djelfa"
"25242","Djibouti"
"23832","Djibouti"
"507","Djibouti"
"12649","Dnipropetrovs'Ka Oblast'"
"25726","Dobeles Novads"
"29923","Dobje"
"29777","Dobrepolje"
"28288","Dobrich"
"29924","Dobrna"
"29778","Dobrova-Polhov Gradec"
"29925","Dobrovnik/Dobronak"
"12521","Dodekanisos"
"26069","Dodoma"
"29275","Dojran"
"29780","Dol Pri Ljubljani"
"29926","Dolenjske Toplice"
"12077","Dolj"
"29280","Dolneni"
"14360","Dolnoslaskie"
"29737","Domagnano"
"6774","Dominica"
"574","Dominica"
"11723","Dominican Republic"
"569","Dominican Republic"
"25985","Domzale"
"25392","Doncaster"
"29232","Donduseni"
"11825","Donegal"
"12245","Donets'Ka Oblast'"
"26118","Dong Nai"
"26122","Dong Thap"
"28656","Donga"
"29789","Dornava"
"29637","Dornod"
"29638","Dornogovi"
"25394","Dorset"
"29683","Dosso"
"25752","Doukkala-Abda"
"25395","Down"
"14862","Drama"
"25986","Dravograd"
"10949","Drenthe"
"25762","Drochia"
"29283","Drugovo"
"29869","Duarte"
"29234","Dubasari"
"25153","Dubayy"
"19982","Dublin"
"14887","Dubrovacko-Neretvanska"
"25397","Dudley"
"25391","Dumfries And Galloway"
"25293","Dumyat"
"28333","Dunaujvaros"
"29210","Dundagas Novads"
"25393","Dundee City"
"29636","Dundgovi"
"25390","Dungannon And South Tyrone"
